IP_ES_25_N1,Z3_IB_4_N1,Z1_IB_10_N1,Z1_IB_5_N1,Z3_IB_8_N1,ECI_IB_4_N1,ECI_IB_5_N1,Gs(U)_IB_12_N1,Gs(U)_IB_68_N1,Gs(U)_IB_58_N1,Gs(U)_IB_60_N1,Z1_NO_sideL35_M,HP_NO_sideL35_CV,Z1_NO_sideR35_CV,Pb_NO_sideR35_S,IP_NO_sideL35_SI71,Z1_NO_PRT_CV,Z2_NO_AHR_CV,Gs(U)_NO_ALR_SI71,Z3_NO_UCR_S,Z3_NO_UCR_N1,ECI_NO_UCR_CV,Pa_NO_BSR_SI71,ISA_NO_NPR_S,Z3_NO_NPR_V,IP_NO_PLR_S,Pb_NO_PCR_V,ECI_NO_PCR_CV,class
16.28,18.21,14.06,10.52,17.5,255.04,85.16,0.06,0.05,0.06,0.06,2.69,-3.89,6.49,0.83,0.56,4.91,45.59,0.56,0.04,38.21,0.75,0.61,-0.51,1.32,0.37,0.01,0.5,N
6.51,20.12,10.71,9.85,12.94,24.53,23.47,0.04,0.03,0.03,0.04,2.91,-1.07,1.75,1.02,0.52,1.41,0.8,0.57,1.18,4.69,0.47,0.45,-2.22,1.07,-0.02,0.02,0.62,N
6.41,15.25,14.21,8.94,19.69,17.22,19.87,0.06,0.07,0.03,0.04,1.12,-4.12,-14.21,0.52,0.61,45.64,11.97,0.58,-1.21,4.47,0.32,0.58,-0.85,1.08,0.66,0.02,0.64,N
4.18,31.38,9.07,7.14,10.18,57.17,38.75,0.06,0.04,0.04,0.04,2.28,-2.83,132.76,0.72,0.54,14.94,-26.24,0.48,-1.04,0.34,0.37,0.59,-0.61,1.41,0.29,0.02,0.6,N
5.73,18.33,13.57,15.89,15.29,107.29,65.02,0.04,0.05,0.03,0.05,1.12,-4.46,-11.62,0.5,0.55,-58.77,228.98,0.52,1.8,12.75,0.55,0.47,-1.08,1.58,0.52,0.02,0.57,N
6.27,45.58,9.97,6.4,23.16,43.85,40.41,0.08,0.06,0.04,0.05,0.57,57.42,4.48,1.13,0.58,9.47,-755.46,0.5,1.47,10.63,0.54,0.54,-0.7,0.68,0.2,0.02,0.58,N
6.78,22.89,8.87,8.12,13.19,68.23,47.23,0.03,0.06,0.04,0.05,0.75,191.64,10.14,1.08,0.53,20.07,-3.55,0.53,1.61,8.41,0.5,0.55,-0.92,1.44,0.94,0.01,0.57,N
13.01,40.21,7.98,9.22,9.85,26.99,32.24,0.04,0.03,0.03,0.05,6.1,-3.69,13.31,0.42,0.63,8.46,1.39,0.52,-1.31,1.53,0.39,0.53,-1.51,1.57,-0.1,0.01,0.62,N
6.74,52.91,8.27,7.18,12.99,28.31,61.06,0.05,0.04,0.05,0.07,1.74,-21.05,-34.65,0.66,0.57,507.76,-9.67,0.53,-1.31,3.45,0.41,0.49,-1.21,0.9,0.73,0.02,0.55,N
5.8,40.68,8.28,9.94,13.84,97.39,67.98,0.08,0.04,0.04,0.06,2.2,-92.62,1.74,1.15,0.56,3.87,8.99,0.53,-1.05,1.76,0.41,0.52,-0.7,1.28,0.41,0.02,0.54,N
-1.21,57.23,11.61,7.62,47.96,29.05,30.05,0.05,0.06,0.07,0.09,0.72,32.31,-103.59,1.1,0.52,-50.15,-4.34,0.5,1.82,1.02,0.42,0.48,-0.79,0.79,0.91,0.02,0.67,N
4.85,29.31,7.77,14.2,26.12,34.25,44.78,0.08,0.08,0.07,0.05,0.68,-8.21,6.26,0.68,0.63,6.17,-4.17,0.56,0.98,7.15,0.42,0.55,-0.57,1.01,1.25,0.01,0.57,N
13.09,33.93,5.82,6.56,13.81,44.46,31.15,0.04,0.1,0.04,0.03,8.15,11.0,3.35,1.24,0.56,23.35,-6.5,0.49,1.42,8.98,0.5,0.59,-0.89,0.42,0.3,0.01,0.54,N
6.62,23.15,8.76,9.59,13.75,26.57,35.52,0.04,0.04,0.05,0.04,8.74,-1.86,-8.77,0.19,0.63,48.97,2.62,0.53,-0.85,-0.09,0.37,0.52,-1.7,1.85,0.72,0.02,0.64,N
4.91,18.18,6.33,6.83,23.48,27.21,26.38,0.04,0.04,0.06,0.05,20.93,-5.59,-4.63,0.36,0.56,-8.13,53.96,0.47,-0.87,0.12,0.34,0.49,-1.38,0.7,0.31,0.02,0.56,N
5.77,22.9,5.97,9.34,19.36,49.09,84.41,0.04,0.06,0.03,0.05,0.61,8.05,-6.31,0.53,0.47,-5.03,-11.16,0.5,-0.5,-2.88,0.38,0.58,-1.11,0.81,0.26,0.02,0.63,N
14.17,18.07,9.48,9.52,30.26,31.99,32.65,0.1,0.13,0.05,0.05,1.87,9.59,-69.43,0.58,0.56,-40.62,-70.16,0.52,1.28,10.92,0.44,0.51,-0.74,1.22,0.76,0.0,0.57,N
14.51,17.17,20.2,8.95,12.76,33.31,35.7,0.05,0.07,0.05,0.04,0.75,-1.73,3.9,1.22,0.59,3.14,3.87,0.56,-1.26,2.74,0.38,0.58,-0.58,1.38,-0.11,0.01,0.55,N
4.22,17.82,8.16,10.6,21.07,45.0,59.21,0.03,0.04,0.2,0.11,1.11,-8.49,4.51,0.65,0.59,21.19,3.62,0.52,-0.78,0.29,0.41,0.41,-1.16,1.64,0.43,0.01,0.61,N
5.34,11.86,9.16,8.08,31.01,22.62,21.29,0.04,0.06,0.04,0.04,1.7,-4.45,-9.5,0.79,0.57,222.57,-6.12,0.47,1.03,19.94,0.56,0.54,-1.31,0.69,0.74,0.01,0.63,N
5.99,15.29,25.17,15.91,21.08,40.44,59.32,0.04,0.12,0.21,0.17,0.7,-34.45,3.37,0.45,0.53,7.42,-1.88,0.5,1.04,11.74,0.5,0.3,-0.75,1.51,1.05,0.03,0.71,N
7.66,19.82,10.28,6.81,44.09,31.53,42.49,0.05,0.1,0.05,0.04,1.12,-28.19,2.35,0.95,0.58,4.87,18.15,0.54,1.49,4.51,0.46,0.52,-0.81,1.34,0.59,0.0,0.57,N
14.5,16.22,8.29,7.57,26.97,57.05,37.06,0.04,0.05,0.05,0.06,9.09,-11.43,-6.86,0.3,0.63,-8.42,7.35,0.49,1.32,0.7,0.42,0.49,-0.93,1.13,0.67,0.02,0.63,N
5.37,26.05,10.86,9.93,25.96,32.8,42.54,0.1,0.08,0.04,0.03,0.73,-3.11,3.75,1.06,0.54,4.59,-5.28,0.46,1.75,1.83,0.44,0.61,-0.41,1.27,0.42,0.01,0.56,N
5.55,11.42,10.56,10.24,14.32,27.14,48.79,0.06,0.09,0.12,0.07,-20.65,-3.81,27.48,0.22,0.61,91.15,5.72,0.56,-0.6,-3.73,0.38,0.51,-1.03,1.62,0.7,0.01,0.57,N
-1.28,22.23,6.33,13.23,25.84,221.58,229.5,0.04,0.05,0.05,0.04,0.67,-1.82,4.1,1.42,0.59,2.75,7.21,0.54,0.94,7.75,0.46,0.62,-0.8,1.05,0.52,0.0,0.0,N
5.52,14.3,9.74,7.6,23.34,46.38,33.19,0.06,0.04,0.14,0.05,1.97,1166.44,-16.72,0.91,0.6,-12.21,-5.56,0.45,1.71,-0.23,0.44,0.51,-1.02,0.44,0.78,0.02,0.64,N
4.79,31.51,13.09,14.33,17.34,24.49,27.92,0.12,0.23,0.14,0.09,0.68,-1.43,2.28,0.23,0.54,2.34,-9.28,0.37,0.38,-11.48,0.25,0.27,0.26,1.03,0.57,0.02,0.61,N
4.84,13.02,6.92,10.62,21.76,58.37,50.77,0.03,0.07,0.07,0.06,0.96,-4.92,9.13,0.99,0.59,9.87,10.7,0.56,0.6,13.19,0.62,0.51,-0.98,0.96,0.61,0.02,0.62,N
6.63,18.9,6.32,6.77,11.19,43.97,43.98,0.04,0.06,0.05,0.04,7.85,-7.47,-13.95,0.74,0.62,-57.74,13.33,0.53,2.05,12.7,0.46,0.58,-1.33,0.92,0.48,0.02,0.61,N
13.18,14.07,13.58,12.02,10.73,117.35,106.05,0.05,0.03,0.08,0.07,1.0,-4.21,8.44,0.7,0.43,80.07,2.78,0.41,0.26,-2.3,0.44,0.38,-0.63,2.42,-0.48,0.01,0.61,N
5.65,259.26,333.33,333.33,259.26,466.67,466.67,0.13,0.05,0.05,0.04,0.14,4.56,190.6,0.86,0.49,-487.96,-1.32,0.4,-0.97,-0.07,0.41,0.57,0.16,1.11,0.51,0.01,0.56,N
4.55,41.96,8.51,13.47,23.61,27.18,38.67,0.05,0.05,0.05,0.04,0.45,-2.0,3.58,1.51,0.52,2.66,-13.2,0.45,-1.72,1.74,0.44,0.59,-0.11,1.46,0.26,0.02,0.6,N
4.91,22.41,7.1,11.65,16.01,66.51,50.81,0.03,0.05,0.03,0.05,1.91,-8.87,7.73,0.94,0.59,18.05,5.42,0.59,2.17,10.47,0.46,0.5,-0.96,0.71,0.3,0.02,0.61,N
7.66,20.84,6.27,10.26,17.65,58.84,39.95,0.06,0.06,0.06,0.06,0.47,-12.23,14.61,1.22,0.52,10.52,-2.43,0.47,-1.98,7.2,0.43,0.65,-0.51,1.38,0.64,0.02,0.64,N
6.61,51.75,11.02,7.55,22.98,32.65,32.17,0.08,0.15,0.05,0.04,1.78,-7.25,3.42,0.48,0.5,3.53,-2.51,0.53,-1.14,2.59,0.39,0.51,-0.6,0.61,0.88,0.01,0.46,N
4.85,12.89,12.9,7.67,37.04,27.2,25.42,0.04,0.04,0.06,0.05,6.52,-3.81,-7.78,-0.11,0.57,49.12,3.63,0.55,-0.67,-3.11,0.35,0.48,-1.28,1.08,0.55,0.02,0.57,N
3.77,15.08,11.13,7.29,17.65,44.75,35.9,0.06,0.09,0.04,0.06,0.97,-68.92,-63.49,0.66,0.58,-72.56,-4.7,0.54,0.95,17.86,0.56,0.55,-1.02,0.83,0.8,0.02,0.6,N
3.88,14.19,15.66,12.73,20.95,53.82,63.82,0.08,0.06,0.06,0.06,1.06,-2.02,9.93,0.61,0.56,8.32,3.87,0.47,-0.73,-1.07,0.38,0.47,-0.67,1.85,0.62,0.02,0.63,N
7.09,14.64,6.35,6.27,16.52,85.77,51.3,0.04,0.05,0.05,0.05,14.64,-3.54,6.58,1.01,0.62,9.32,6.43,0.51,1.0,8.23,0.57,0.65,-0.99,1.67,0.35,0.01,0.64,N
-0.19,13.36,8.24,9.2,18.66,19.87,16.74,0.05,0.05,0.04,0.03,0.94,-4.08,8.65,0.28,0.59,5.3,6749631676271959.0,0.6,1.44,4.28,0.48,0.51,-0.44,0.95,0.68,0.02,0.58,N
6.33,21.32,11.41,8.47,18.3,331.48,370.33,0.05,0.04,0.04,0.12,0.75,-2.32,2.13,1.53,0.48,2.66,16.88,0.41,-0.24,-3.27,0.41,0.42,-0.21,1.57,0.33,0.02,0.58,N
-0.85,10.61,5.7,6.64,41.47,26.12,34.46,0.04,0.04,0.06,0.05,1.13,-4.79,-20.68,0.7,0.57,365.98,-8.5,0.46,1.58,3.63,0.45,0.54,-0.86,0.67,0.39,0.02,0.62,N
5.46,15.53,9.29,8.35,52.93,22.6,24.69,0.07,0.05,0.07,0.08,0.27,-19.18,-10.66,0.87,0.41,29.67,-2.16,0.45,-0.93,0.26,0.31,0.58,-0.19,0.9,0.86,0.01,0.65,N
6.32,19.22,9.78,10.32,13.28,58.0,36.3,0.15,0.06,0.06,0.13,0.98,-2.32,2.27,0.36,0.54,1.94,17.67,0.58,0.9,4.42,0.42,0.43,-0.58,1.73,0.81,0.01,0.54,N
5.31,14.09,7.6,8.17,154.05,32.36,39.98,0.04,0.04,0.04,0.04,1.16,-6.34,-5.91,0.67,0.64,-7.71,-7.73,0.45,-0.89,-2.71,0.35,0.5,-0.87,0.81,0.52,0.02,0.64,N
3.66,15.14,13.25,8.72,28.57,470.91,788.55,0.09,0.05,0.03,0.04,0.33,12.28,-61.22,0.51,0.48,-222.89,-12.25,0.52,1.22,2.15,0.47,0.46,-0.72,1.46,0.41,0.02,0.62,N
14.4,31.72,8.24,7.43,9.74,81.14,75.97,0.11,0.05,0.07,0.06,0.95,-7.31,11.1,0.91,0.49,7.46,-25.96,0.56,-1.31,3.49,0.39,0.6,-0.74,1.39,0.59,0.01,0.65,N
5.24,13.11,6.97,25.88,26.48,27.5,38.41,0.04,0.04,0.09,0.08,0.39,-6.82,17.09,0.8,0.52,7.9,-5.4,0.44,1.28,3.98,0.44,0.53,-0.3,0.4,0.49,0.02,0.64,N
4.78,8.02,15.55,10.66,12.77,49.45,40.14,0.04,0.04,0.05,0.04,1.38,-2.04,3.45,0.58,0.64,2.69,3.5,0.57,0.66,24.11,0.59,0.47,-0.16,1.01,0.42,0.02,0.62,N
3.04,21.27,8.58,13.3,14.98,42.4,86.06,0.03,0.04,0.06,0.04,1.04,-2.55,3.28,0.92,0.52,4.13,7.91,0.56,-0.9,-0.13,0.41,0.47,-1.01,1.18,0.27,0.01,0.62,N
5.1,29.76,8.53,9.86,14.21,28.84,28.46,0.04,0.05,0.1,0.05,1.54,-6.91,-10.25,0.55,0.58,-47.58,-2.65,0.42,1.46,13.57,0.49,0.56,-0.8,0.73,1.31,0.01,0.45,N
6.22,18.43,8.94,6.59,12.67,50.14,48.55,0.04,0.04,0.03,0.03,4.9,-13.07,18.39,0.88,0.56,388.3,-16.57,0.48,0.98,3.31,0.45,0.49,-1.84,0.63,0.47,0.02,0.6,N
5.28,21.1,9.76,12.32,20.39,32.08,36.18,0.04,0.13,0.05,0.07,1.79,-3.2,-36.02,0.54,0.56,46.47,4.88,0.55,-0.16,-5.4,0.37,0.57,-0.79,0.84,0.13,0.02,0.48,N
7.0,56.42,11.26,10.7,16.88,35.81,43.34,0.04,0.04,0.04,0.06,0.47,-3.0,7.62,0.75,0.68,7.19,4.64,0.54,-1.29,4.85,0.37,0.55,-0.46,1.51,0.52,0.02,0.63,N
4.09,32.58,9.92,11.67,34.16,57.65,40.87,0.04,0.03,0.04,0.04,0.74,-2.52,2.77,1.12,0.57,2.77,-6.7,0.53,-1.71,4.39,0.42,0.64,-0.23,0.77,0.61,0.01,0.55,N
5.39,29.31,7.65,9.22,14.97,80.61,45.28,0.05,0.04,0.14,0.07,1.61,-4.82,4.27,0.86,0.61,5.22,3.51,0.56,-0.51,-3.83,0.4,0.5,-0.65,1.46,0.66,0.01,0.02,N
5.58,17.66,8.75,7.31,35.4,76.65,80.24,0.05,0.06,0.07,0.08,0.76,-9.4,-35.92,0.65,0.6,-38.7,-25.44,0.52,2.0,14.46,0.48,0.58,-0.79,1.31,0.63,0.02,0.62,N
4.04,18.52,14.26,8.87,17.8,54.23,65.94,0.06,0.04,0.05,0.04,0.57,-2.88,4.07,0.69,0.57,4.56,-18.33,0.51,1.46,1.61,0.42,0.59,-0.36,1.16,0.05,0.02,0.55,N
5.73,12.32,6.57,18.2,11.8,24.54,37.64,0.07,0.03,0.04,0.03,0.66,-3.53,6.67,0.65,0.62,5.07,3.36,0.55,1.37,6.28,0.5,0.51,-0.83,0.84,0.17,0.02,0.57,N
5.79,18.62,7.95,10.81,12.1,189.45,201.21,0.05,0.09,0.06,0.05,0.49,-181.31,9.3,1.11,0.51,92.37,-6.85,0.48,-0.69,3.25,0.41,0.3,-0.83,1.72,0.26,0.01,0.02,N
4.8,11.57,6.55,11.3,21.59,40.57,33.97,0.06,0.06,0.04,0.05,0.99,-5.09,4.77,0.82,0.57,6.14,5.49,0.53,1.26,3.42,0.49,0.56,-0.68,0.74,0.29,0.01,0.49,N
5.17,44.21,23.51,7.64,48.45,26.02,30.61,0.1,0.05,0.06,0.04,0.47,78.02,-7.92,0.4,0.59,-9.65,-3.8,0.55,1.39,2.35,0.38,0.51,-0.72,0.69,0.92,0.01,0.57,N
-0.09,17.4,8.71,7.49,24.93,36.94,35.0,0.05,0.04,0.04,0.04,0.8,-24.89,15.3,0.92,0.57,-108.0,-9.72,0.49,1.48,12.88,0.49,0.56,-0.65,0.69,0.44,0.02,0.63,N
5.54,26.11,13.13,8.66,49.6,25.42,28.96,0.1,0.04,0.08,0.09,2.18,-3.69,-7.94,0.7,0.58,-300.41,8.15,0.53,-1.28,3.08,0.37,0.5,-1.05,1.17,0.17,0.01,0.63,N
5.39,56.45,13.38,12.58,24.07,31.04,30.02,0.04,0.13,0.13,0.13,0.45,-16.36,8.79,-1.46,0.63,58.68,-0.93,0.25,0.13,-4.88,0.38,0.52,1.11,0.37,0.42,0.02,0.65,N
17.36,16.29,8.62,9.15,33.29,22.63,21.89,0.07,0.1,0.07,0.09,1.52,-2.77,3.06,0.99,0.61,3.43,-36.16,0.54,1.0,7.96,0.43,0.56,-0.11,1.17,0.94,0.01,0.52,N
-1.47,13.38,6.37,6.57,37.17,26.69,28.13,0.04,0.04,0.04,0.12,14.09,-4.9,-1818.25,0.82,0.55,51.35,-44.92,0.52,-0.59,-1.65,0.37,0.57,-1.08,1.45,0.18,0.01,0.63,N
6.04,14.39,7.27,7.21,19.57,37.24,37.54,0.03,0.09,0.04,0.04,1.08,-3.52,2.69,1.07,0.58,3.45,2.72,0.53,-1.01,-0.28,0.41,0.53,-0.98,1.31,0.09,0.02,0.56,N
6.19,26.36,12.15,9.57,21.83,35.7,56.84,0.04,0.12,0.05,0.04,1.45,-3.38,-417.81,0.8,0.47,6.59,9.92,0.44,-0.78,-1.81,0.4,0.55,-0.67,0.43,0.43,0.02,0.03,N
5.07,13.38,8.52,7.02,11.35,49.45,38.97,0.1,0.06,0.05,0.04,5.03,13.91,4.11,0.87,0.55,20.63,2.7,0.54,1.27,1.89,0.44,0.52,-1.28,0.73,0.26,0.02,0.6,N
5.55,42.48,15.9,22.72,22.63,120.88,239.32,0.05,0.04,0.04,0.04,1.01,23.5,4.52,0.57,0.51,-56.85,20.75,0.45,-0.78,-1.53,0.4,0.47,-1.47,2.24,0.66,0.02,0.59,N
5.5,48.89,8.39,8.2,39.84,88.67,40.38,0.04,0.04,0.04,0.03,0.73,-6.99,14.94,0.78,0.54,19.81,9.06,0.38,2.08,5.32,0.42,0.68,-1.29,0.91,0.29,0.02,0.02,N
2.99,43.77,6.31,10.34,15.49,128.83,114.23,0.05,0.04,0.05,0.04,1.11,6.6,119.86,0.53,0.58,-13.93,-14.84,0.52,1.03,15.4,0.58,0.54,-1.07,1.52,0.68,0.02,0.62,N
4.97,13.14,9.23,9.89,17.65,50.5,32.93,0.05,0.04,0.05,0.12,1.04,-3.13,19.64,0.67,0.59,8.65,3.69,0.59,1.08,9.75,0.45,0.57,-0.85,1.09,0.52,0.02,0.53,N
13.0,24.28,9.6,8.53,14.01,283.75,299.64,0.04,0.04,0.07,0.09,9.5,-1.71,7.99,0.92,0.56,4.94,10.97,0.51,-0.86,0.9,0.39,0.61,-0.96,2.03,0.4,0.01,0.52,N
-1.78,24.26,13.22,7.84,21.56,63.71,56.16,0.1,0.05,0.04,0.06,1.08,-4.07,-12.91,0.52,0.62,-63.21,4.87,0.55,-1.2,2.46,0.4,0.6,-0.97,1.56,0.32,0.02,0.62,N
0.16,14.98,10.71,7.53,15.05,254.93,506.25,0.04,0.04,0.05,0.05,1.08,-13.5,17.65,1.02,0.55,17.64,-4.33,0.44,1.32,13.44,0.56,0.4,-0.59,1.65,0.82,0.02,0.64,N
5.76,32.28,6.77,13.19,12.73,58.04,38.81,0.05,0.07,0.16,0.08,0.72,-8.97,7.92,0.56,0.58,11.31,20.77,0.52,-0.6,-2.65,0.39,0.55,-0.19,1.09,0.39,0.02,0.62,N
7.12,24.99,25.72,41.73,19.82,289.09,277.74,0.11,0.05,0.05,0.11,0.43,-8.34,3.38,0.98,0.43,8.07,-1.68,0.39,1.41,2.43,0.47,0.45,-0.47,1.8,0.46,0.01,0.44,N
6.48,13.26,21.29,9.76,13.71,81.55,82.73,0.04,0.17,0.08,0.12,2.21,-13.17,31.4,0.56,0.6,-47.71,-6.41,0.49,-0.1,-9.52,0.39,0.34,-1.3,1.68,0.89,0.02,0.03,N
14.64,41.48,10.69,10.85,24.27,19.04,28.77,0.04,0.04,0.03,0.04,0.54,-3.43,11.49,1.34,0.55,7.63,-4.1,0.48,1.54,8.95,0.47,0.62,-0.84,1.09,0.91,0.02,0.6,N
5.55,10.48,8.51,7.99,22.58,220.67,227.73,0.07,0.09,0.14,0.07,1.54,-1.74,7.48,0.08,0.6,4.16,10.23,0.45,1.35,18.74,0.55,0.66,-0.67,1.66,0.47,0.01,0.52,N
5.83,8.92,13.34,6.91,14.83,30.44,34.73,0.06,0.04,0.03,0.03,0.77,-33.16,-16.96,0.61,0.55,-15.58,-14.62,0.5,-0.04,-5.15,0.36,0.52,-0.91,0.78,-0.08,0.02,0.61,N
7.53,91.27,10.51,18.21,14.29,24.93,31.88,0.1,0.04,0.05,0.04,0.7,-4.04,3.8,0.73,0.49,3.42,-20.0,0.55,-0.76,-5.98,0.39,0.48,-0.51,1.56,0.89,0.01,0.47,N
5.77,27.43,15.19,10.96,25.41,57.03,69.82,0.04,0.05,0.05,0.04,1.05,80.91,-40.71,0.41,0.53,-29.93,-42.19,0.51,-1.13,1.86,0.41,0.53,-1.23,0.49,0.7,0.02,0.65,N
7.09,9.59,10.42,8.11,7.9,21.98,28.92,0.05,0.05,0.06,0.09,3.39,-1.84,16.47,0.57,0.64,4.27,4.03,0.62,0.92,13.32,0.53,0.54,-0.69,1.43,0.46,0.02,0.62,N
4.53,16.49,9.95,10.58,11.88,66.01,83.4,0.1,0.09,0.1,0.09,0.9,-4.73,22.48,0.64,0.59,7.4,9.8,0.56,1.35,4.99,0.49,0.5,-0.67,1.02,0.45,0.02,0.62,N
6.15,39.41,7.37,11.96,14.36,180.76,112.54,0.03,0.06,0.13,0.34,0.72,-2.57,1.58,0.99,0.5,2.46,-21.0,0.54,-1.04,0.63,0.41,0.65,-0.08,1.11,0.38,0.01,0.52,N
5.66,18.15,10.44,10.51,12.0,16.83,18.95,0.04,0.05,0.05,0.05,2.66,-0.62,1.7,1.92,0.32,1.09,0.67,0.67,-1.35,0.17,0.46,0.59,-1.3,0.49,0.74,0.01,0.62,N
4.91,16.98,9.14,6.27,22.6,76.03,59.31,0.08,0.04,0.04,0.04,1.75,38.09,93.08,0.55,0.51,-66.18,8.04,0.46,0.12,-7.01,0.29,0.47,-1.06,0.44,0.18,0.02,0.61,N
6.01,17.74,14.22,15.3,19.86,66.68,66.11,0.06,0.06,0.05,0.04,0.54,-25.26,5.68,0.79,0.51,6.94,33.83,0.52,-0.2,-7.32,0.37,0.4,-0.63,1.79,0.51,0.01,0.59,N
-1.84,31.55,7.56,8.86,24.96,52.09,34.09,0.04,0.05,0.08,0.05,6.69,-3.03,4.88,1.08,0.59,5.64,4.85,0.55,0.27,6.06,0.38,0.55,-1.26,1.05,0.41,0.02,0.62,N
4.98,14.0,9.32,7.02,38.5,141.73,80.56,0.04,0.05,0.06,0.05,1.04,-22.75,26.38,0.62,0.59,-506.22,4.83,0.49,1.35,6.52,0.48,0.48,-0.38,0.93,0.93,0.02,0.63,N
3.39,29.83,7.65,19.66,13.96,285.52,248.1,0.05,0.08,0.42,0.18,1.17,-3.12,2.68,0.77,0.56,3.9,-12.16,0.48,0.15,-9.36,0.37,0.34,-0.62,1.75,0.67,0.01,0.48,N
6.46,12.06,6.82,9.91,24.07,25.93,23.51,0.04,0.04,0.05,0.05,0.99,-7.28,27.4,1.09,0.58,20.35,-2.76,0.44,1.35,7.87,0.48,0.61,-0.95,0.86,0.51,0.01,0.52,N
5.83,18.92,7.0,9.16,30.66,240.33,205.18,0.05,0.05,0.09,0.09,8.85,-9.52,5.99,0.91,0.58,12.74,70.35,0.53,-0.34,-4.15,0.37,0.49,-1.13,0.86,0.52,0.01,0.64,N
5.56,14.15,6.2,9.72,11.82,47.24,48.53,0.04,0.11,0.08,0.05,2.28,-1.74,4.13,0.92,0.47,4.0,10.51,0.49,-1.71,3.54,0.42,0.76,-0.53,1.65,0.77,0.02,0.61,N
5.23,18.04,6.3,6.15,12.65,26.77,25.85,0.04,0.05,0.03,0.04,0.71,-3.05,3.43,1.35,0.45,3.66,-42.47,0.48,1.18,1.22,0.34,0.5,-0.86,0.32,0.1,0.01,0.51,N
-0.1,10.85,9.32,7.2,13.09,77.86,86.07,0.08,0.04,0.05,0.06,1.13,-3.39,15.32,0.48,0.59,8.67,9.71,0.55,-1.28,1.95,0.38,0.57,-1.28,1.66,0.09,0.01,0.61,N
4.3,31.49,6.71,6.68,12.74,24.76,26.87,0.03,0.05,0.04,0.04,2.34,-7.25,-5.54,0.51,0.62,-7.6,-6.49,0.52,1.79,5.95,0.4,0.54,-1.16,1.26,0.31,0.01,0.56,N
4.05,12.81,9.92,8.06,21.15,27.79,127.36,0.06,0.04,0.04,0.04,0.55,-3.38,10.47,1.16,0.52,6.38,-23.36,0.43,-0.53,-0.89,0.44,0.62,-1.05,0.35,0.22,0.02,0.53,N
1.25,15.77,12.55,8.4,7.9,29.13,68.8,0.19,0.04,0.05,0.07,3.73,-1.93,-7.85,0.55,0.53,4.93,-11.06,0.55,1.1,12.22,0.5,0.61,-1.15,1.93,0.75,0.02,0.65,N
5.75,19.65,5.75,9.27,21.68,44.31,49.5,0.04,0.04,0.05,0.05,1.08,16.28,45.6,0.43,0.5,-23.81,-2.41,0.5,1.03,6.33,0.41,0.49,-0.64,0.5,0.37,0.01,0.37,N
6.1,14.97,11.62,9.71,34.07,23.33,21.38,0.05,0.05,0.14,0.09,0.96,-1054.37,13.49,0.79,0.58,17.47,-1.61,0.51,1.15,15.16,0.52,0.52,-0.38,0.77,0.93,0.01,0.57,N
5.54,56.78,13.45,10.82,21.08,60.53,64.07,0.1,0.05,0.04,0.05,1.88,-20.0,-17.69,0.42,0.48,-34.87,-2.16,0.51,-0.81,-0.22,0.39,0.49,-1.05,1.26,0.99,0.02,0.6,N
4.7,18.92,6.78,8.57,15.56,47.88,48.06,0.05,0.06,0.05,0.04,1.03,-32.15,4.65,0.29,0.56,9.38,-79.71,0.55,0.59,-14.25,0.36,0.43,-0.99,1.2,0.75,0.01,0.47,N
4.82,8.75,11.7,10.57,25.02,55.63,46.39,0.05,0.06,0.08,0.05,0.74,-39.92,-43.48,0.44,0.58,-20.39,-5.79,0.54,1.13,7.12,0.5,0.53,-0.65,1.08,0.55,0.02,0.63,N
5.63,13.81,8.37,7.11,36.92,72.58,63.61,0.05,0.04,0.05,0.04,1.7,-4.58,2.72,1.17,0.53,5.09,24.68,0.41,1.52,9.13,0.47,0.64,-1.07,0.38,0.49,0.02,0.6,N
12.88,18.15,9.24,7.61,17.54,42.53,33.99,0.06,0.05,0.05,0.05,1.45,-2.55,8.94,1.04,0.48,4.89,2.71,0.54,-1.18,-0.0,0.33,0.65,-0.71,0.96,0.0,0.01,0.58,N
-1.79,30.8,7.5,12.98,19.03,64.42,76.36,0.05,0.04,0.04,0.04,1.06,-7.89,11.66,0.7,0.56,34.26,6.13,0.54,-0.29,-3.61,0.37,0.52,-0.9,1.1,0.33,0.01,0.63,N
6.15,41.06,13.88,9.36,31.54,78.5,88.35,0.13,0.08,0.05,0.08,0.97,4.85,2.96,1.08,0.5,5.78,-2.9,0.47,0.63,25.74,0.62,0.5,-0.03,0.9,1.0,0.02,0.64,N
5.88,15.49,9.09,9.62,25.18,27.15,39.46,0.04,0.13,0.05,0.03,1.06,-7.02,-18.1,0.66,0.56,-237.36,19.12,0.5,1.17,9.35,0.43,0.43,-1.05,1.41,0.63,0.02,0.64,N
5.87,15.22,8.32,11.23,16.63,29.08,29.67,0.05,0.07,0.04,0.05,1.73,-5.93,3.47,0.81,0.51,5.85,2.91,0.52,1.24,1.9,0.42,0.48,-0.7,1.56,0.29,0.02,0.48,N
6.38,259.26,333.33,333.33,259.26,466.67,466.67,0.13,0.03,0.06,0.08,0.11,1.97,3.0,1.41,0.34,5.21,-1.69,0.27,-1.24,3.34,0.35,0.66,0.66,0.26,0.69,0.02,0.62,N
